,age,workclass,fnlwgt,education,marital_status,relationship,sex,capital_gain,capital_loss,hour_per_week,native_country,race_Asian-Pac-Islander,race_Black,race_Other,race_White,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,income_class
41,53,6,88506,5,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,24,5,172987,5,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,49,5,94638,1,4,2,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,25,5,289980,1,0,0,1,0,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,57,4,337895,5,1,5,1,0,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,53,5,144361,1,1,5,1,0,0,38,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,44,5,128354,6,2,2,0,0,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,41,7,101603,3,1,5,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,29,5,271466,3,0,0,1,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,25,5,32275,2,1,4,0,0,0,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,18,5,226956,1,0,3,0,0,0,30,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,47,5,51835,7,1,4,0,0,1902,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,50,4,251585,5,2,0,1,0,0,55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,47,2,109832,1,2,0,1,0,0,60,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,43,5,237993,2,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
56,46,5,216666,1,1,5,1,0,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,35,5,56352,3,1,5,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,41,5,147372,1,1,5,1,0,0,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,30,5,188146,1,1,5,1,5013,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,30,5,59496,5,1,5,1,2407,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,32,5,293936,1,3,0,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,48,5,149640,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,42,5,116632,8,1,5,1,0,0,45,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
64,29,5,105598,2,2,0,1,0,0,58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,36,5,155537,1,1,5,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,28,5,183175,2,2,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,53,5,169846,1,1,4,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,49,2,191681,2,1,5,1,0,0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
69,25,5,200681,2,0,3,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,19,5,101509,2,0,3,1,0,0,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,31,5,309974,5,4,3,0,0,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,29,6,162298,5,1,5,1,0,0,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
73,23,5,211678,2,0,0,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,79,5,124744,2,1,1,1,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,27,5,213921,1,0,3,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,40,5,32214,4,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,67,5,212759,1,1,5,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,18,5,309634,1,0,3,0,0,0,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,31,3,125927,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,18,5,446839,1,0,0,1,0,0,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,52,5,276515,5,1,5,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,46,5,51618,1,1,4,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,59,5,159937,1,1,5,1,0,0,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,44,5,343591,1,2,0,0,14344,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
85,53,5,346253,1,2,3,0,0,0,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,49,3,268234,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87,33,5,202051,6,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,30,5,54334,1,0,0,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,43,4,410867,8,0,0,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,57,5,249977,3,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,37,5,286730,2,2,2,0,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,28,5,212563,2,2,2,0,0,0,25,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,30,5,117747,1,1,4,0,0,1573,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,34,3,226296,5,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
95,29,3,115585,2,0,0,1,0,0,50,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,48,6,191277,8,1,5,1,0,1902,60,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
97,37,5,202683,2,1,5,1,0,0,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
98,48,5,171095,4,2,2,0,0,0,40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,32,4,249409,1,0,3,1,0,0,40,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,76,5,124191,6,1,5,1,0,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101,44,5,198282,5,1,5,1,15024,0,60,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,47,6,149116,6,0,0,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,20,5,188300,2,0,3,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,29,5,103432,1,0,0,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,32,2,317660,1,1,5,1,7688,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,17,5,304873,1,0,3,0,34095,0,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,30,5,194901,1,0,3,1,0,0,40,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,31,3,189265,1,0,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,42,5,124692,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,24,5,432376,5,0,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,38,5,65324,7,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,56,6,335605,1,1,5,1,0,1887,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113,28,5,377869,2,1,4,0,4064,0,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,36,5,102864,1,0,3,0,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,53,5,95647,1,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,56,2,303090,2,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,49,3,197371,3,1,5,1,0,0,40,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
118,55,5,247552,2,1,5,1,0,0,56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,22,5,102632,1,0,0,1,0,0,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,21,5,199915,2,0,3,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,40,5,118853,5,1,5,1,0,0,60,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,30,5,77143,5,0,3,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,29,7,267989,5,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
124,19,5,301606,2,0,3,1,0,0,35,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,47,5,287828,5,1,4,0,0,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
126,20,5,111697,2,0,3,0,0,1719,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,31,5,114937,4,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,35,5,129305,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,39,5,365739,2,2,0,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,28,5,69621,4,0,0,0,0,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,24,5,43323,1,0,0,0,0,1762,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,38,6,120985,1,1,5,1,4386,0,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,37,5,254202,5,1,5,1,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,46,5,146195,4,2,0,0,0,0,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,38,4,125933,6,1,5,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
136,43,6,56920,1,1,5,1,0,0,60,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,27,5,163127,3,1,4,0,0,0,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,20,5,34310,2,0,3,1,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,49,5,81973,2,1,5,1,0,0,40,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
140,61,2,66614,1,1,5,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,27,5,232782,2,0,3,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,19,5,316868,2,0,3,1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,45,5,196584,3,0,0,0,0,1564,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
144,70,5,105376,2,0,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,31,5,185814,1,0,2,0,0,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,22,5,175374,2,1,5,1,0,0,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,36,5,108293,1,6,2,0,0,0,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,64,5,181232,1,1,5,1,0,2179,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,43,5,174662,2,2,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,47,3,186009,2,2,2,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,34,5,198183,1,0,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,33,5,163003,5,0,1,0,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,21,5,296158,1,0,3,1,0,0,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,52,5,252903,1,2,0,1,0,0,45,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
155,48,5,187715,1,1,5,1,0,0,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,23,5,214542,5,0,0,1,0,0,40,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,71,6,494223,2,4,2,1,0,1816,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,29,5,191535,1,2,0,1,0,0,60,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,42,5,228456,5,4,1,1,0,0,50,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,68,5,38317,1,2,0,0,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,25,5,252752,1,0,2,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,44,2,78374,6,2,2,0,0,0,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,28,5,88419,1,0,0,0,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,45,6,201080,6,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
165,36,5,207157,2,2,2,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,39,4,235485,4,0,0,1,0,0,42,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,46,7,102628,6,6,2,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,18,5,25828,1,0,3,1,0,0,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,66,3,54826,3,6,0,0,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,27,5,124953,1,0,0,1,0,1980,40,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,28,7,175325,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
172,51,5,96062,2,1,5,1,0,1977,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
173,27,5,428030,5,0,0,1,0,0,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,28,7,149624,5,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
175,27,5,253814,1,3,2,0,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,21,5,312956,1,0,3,1,0,0,40,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177,34,5,483777,1,0,0,1,0,0,40,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,18,5,183930,1,0,3,1,0,0,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
179,33,5,37274,5,1,5,1,0,0,65,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,44,3,181344,2,1,5,1,0,0,38,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
181,43,5,114580,2,2,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,30,5,633742,2,0,0,1,0,0,45,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,40,5,286370,1,1,5,1,0,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
184,37,4,29054,2,1,5,1,0,0,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,34,5,304030,1,1,5,1,0,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,41,6,143129,5,2,0,0,0,0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,53,5,135105,5,2,0,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,31,5,99928,6,1,4,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,58,7,109567,8,1,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
190,38,5,155222,2,2,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191,24,5,159567,2,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,41,3,523910,5,1,5,1,0,0,40,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193,47,5,120939,2,1,5,1,0,0,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,41,4,130760,5,1,5,1,0,0,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,23,5,197387,1,1,1,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,36,5,99374,2,2,0,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,40,4,56795,6,0,0,0,14084,0,55,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
198,35,5,138992,6,1,1,1,7298,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
199,24,6,32921,1,0,0,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,26,5,397317,6,0,0,0,0,1876,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,19,5,170653,1,0,3,1,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,51,5,259323,5,1,5,1,0,0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
203,42,3,254817,2,0,0,0,0,1340,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,37,7,48211,1,2,2,0,0,0,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,18,5,140164,1,0,3,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,36,5,128757,5,1,5,1,7298,0,36,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
207,35,5,36270,1,2,0,1,0,0,60,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,58,2,210563,1,1,4,0,15024,0,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
209,17,5,65368,1,0,3,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,44,3,160943,1,1,5,1,0,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,37,5,208358,1,1,5,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
212,35,5,153790,2,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
213,60,5,85815,1,1,5,1,0,0,40,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,54,2,125417,1,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
215,37,5,635913,5,0,0,1,0,0,60,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
216,50,5,313321,4,2,0,0,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,38,5,182609,5,1,5,1,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,45,5,109434,5,1,5,1,0,0,55,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
219,25,5,255004,1,0,0,1,0,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,31,5,197860,2,1,5,1,0,0,40,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
